case_number,decision_number,attachment_reference,attachment_category,attachment_link,attachment_language,attachment_sent_date,attachment_publication_date,attachment_id_sequence
DMA.100206,{1AEB95D8-84C2-4C38-89D2-B735E05ACA8B},DMA.100206-DEC{1AEB95D8-84C2-4C38-89D2-B735E05ACA8B}-ATT50,DocumentCategory3976,https://ec.europa.eu/competition/digital_markets_act/cases/202431/DMA_100206_50.pdf,EN,2024-07-31,2024-07-31,50
DMA.100008,{564D5143-E863-4715-A8AE-D15EAA7B50B9},DMA.100008-DEC{564D5143-E863-4715-A8AE-D15EAA7B50B9},DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202344/DMA_100008_146.pdf,EN,2023-09-05,2023-10-30,146
DMA.100041,{A51330F2-53EE-4FD9-B0E5-4E1B4553960C},DMA.100041-DEC{A51330F2-53EE-4FD9-B0E5-4E1B4553960C}-ATT659,DocumentCategory0409,https://ec.europa.eu/competition/digital_markets_act/cases/202540/DMA_100041_659.pdf,EN,2025-09-30,2025-09-30,659
DMA.100041,{FA19CA1B-3661-40F5-8151-16D4B2DCC1E7},DMA.100041-DEC{FA19CA1B-3661-40F5-8151-16D4B2DCC1E7}-ATT631,DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202441/DMA_100041_631.pdf,EN,2024-10-08,2024-10-08,631
DMA.100042,{E35552D7-CA95-4AD2-A269-03AC1E84B650},DMA.100042-DEC{E35552D7-CA95-4AD2-A269-03AC1E84B650}-ATT134,DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202441/DMA_100042_134.pdf,EN,2024-10-11,2024-10-11,134
DMA.100040,{B83B1673-D18A-4D1C-B36A-765FFC8CEDF0},DMA.100040-DEC{B83B1673-D18A-4D1C-B36A-765FFC8CEDF0},DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202344/DMA_100040_141.pdf,EN,2023-09-05,2023-10-30,141
DMA.100045,{6E4C6443-2789-414C-A2BF-1BF882408787},DMA.100045-DEC{6E4C6443-2789-414C-A2BF-1BF882408787}-ATT117,DocumentCategory3982,https://ec.europa.eu/competition/digital_markets_act/cases/202612/DMA_100045_117.pdf,NS,2026-03-20,2026-03-20,117
DMA.100002,{0096D7F1-E17C-402A-ADD2-5DD90FDA7BF3},DMA.100002-DEC{0096D7F1-E17C-402A-ADD2-5DD90FDA7BF3},DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202344/DMA_100002_145.pdf,EN,2023-09-05,2023-10-30,145
DMA.100044,{37AF0374-5338-4BCA-A294-6C93D3B49A34},DMA.100044-DEC{37AF0374-5338-4BCA-A294-6C93D3B49A34}-ATT294,DocumentCategory3989,https://ec.europa.eu/competition/digital_markets_act/cases/202531/DMA_100044_294.pdf,EN,2025-04-23,2025-07-31,294
DMA.100044,{F05A5D40-5E73-4ECB-9537-582A4E3F3251},DMA.100044-DEC{F05A5D40-5E73-4ECB-9537-582A4E3F3251}-ATT138,DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202346/DMA_100044_138.pdf,EN,2023-09-05,2023-11-16,138
DMA.100236,{45930059-FD0F-4689-B14C-A507B4B654A8},DMA.100236-DEC{45930059-FD0F-4689-B14C-A507B4B654A8}-ATT28,DocumentCategory3795,https://ec.europa.eu/competition/digital_markets_act/cases/202550/DMA_100236_28.pdf,EN,2025-12-12,2025-12-12,28
DMA.100038,{1386C4A5-AB07-4CF0-9B4B-D8CBACB1AB1E},DMA.100038-DEC{1386C4A5-AB07-4CF0-9B4B-D8CBACB1AB1E},DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202346/DMA_100038_100.pdf,EN,2023-09-05,2023-11-15,100
DMA.100075,{E9521267-2288-4A53-9F73-2BF23BC5C7DD},DMA.100075-DEC{E9521267-2288-4A53-9F73-2BF23BC5C7DD}-ATT135,DocumentCategory3977,https://ec.europa.eu/competition/digital_markets_act/cases/202417/DMA_100075_135.pdf,EN,2024-04-24,2024-04-24,135
DMA.100193,{8973FEAF-0FA4-446E-9808-7C4DA6C897A5},DMA.100193-DEC{8973FEAF-0FA4-446E-9808-7C4DA6C897A5}-ATT249,DocumentCategory3977,https://ec.europa.eu/competition/digital_markets_act/cases/202417/DMA_100193_249.pdf,EN,2024-04-24,2024-04-24,249
DMA.100232,{8242FE1D-A499-4E12-B388-1CC76132BCAF},DMA.100232-DEC{8242FE1D-A499-4E12-B388-1CC76132BCAF}-ATT44,DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202441/DMA_100232_44.pdf,EN,2024-10-08,2024-10-08,44
DMA.100034,{1ABE6D99-2BC9-4474-BEB4-50CF95DCB14B},DMA.100034-DEC{1ABE6D99-2BC9-4474-BEB4-50CF95DCB14B}-ATT5404,DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202416/DMA_100034_5404.pdf,EN,2024-04-18,2024-04-18,5404
DMA.100034,{5A9280CD-F904-4BDB-8432-9AAAD0FE9D51},DMA.100034-DEC{5A9280CD-F904-4BDB-8432-9AAAD0FE9D51}-ATT5252,DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202343/DMA_100034_5252.pdf,EN,2023-09-05,2023-10-27,5252
DMA.100035,{73FBA51F-7BCB-4F1D-B72B-81DD2C20ABE9},DMA.100035-DEC{73FBA51F-7BCB-4F1D-B72B-81DD2C20ABE9}-ATT124,DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202346/DMA_100035_124.pdf,EN,2023-09-05,2023-11-16,124
DMA.100032,{4AAA1BE5-1B3E-4F76-89EE-2C8EF708F277},DMA.100032-DEC{4AAA1BE5-1B3E-4F76-89EE-2C8EF708F277}-ATT168,DocumentCategory4275,https://ec.europa.eu/competition/digital_markets_act/cases/202550/DMA_100032_168.pdf,EN,2025-12-12,2025-12-12,168
DMA.100231,{C7EDA13F-E389-4F03-8EEC-1C035655D04B},DMA.100231-DEC{C7EDA13F-E389-4F03-8EEC-1C035655D04B}-ATT1268,DocumentCategory3977,https://ec.europa.eu/competition/digital_markets_act/cases/20264/DMA_100231_1268.pdf,NS,2026-01-23,2026-01-23,1268
DMA.100033,{8385C9F4-90D6-4AE4-A38E-64FC35EDA1B7},DMA.100033-DEC{8385C9F4-90D6-4AE4-A38E-64FC35EDA1B7}-ATT135,DocumentCategory4275,https://ec.europa.eu/competition/digital_markets_act/cases/202550/DMA_100033_135.pdf,EN,2025-12-12,2025-12-12,135
DMA.100027,{E7A9D911-F36A-4FAD-BC67-F0E3AFA390A2},DMA.100027-DEC{E7A9D911-F36A-4FAD-BC67-F0E3AFA390A2},DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202344/DMA_100027_197.pdf,EN,2023-09-05,2023-10-30,197
DMA.100028,{1ABE6D99-2BC9-4474-BEB4-50CF95DCB14B},DMA.100028-DEC{1ABE6D99-2BC9-4474-BEB4-50CF95DCB14B}-ATT3470,DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202416/DMA_100028_3470.pdf,EN,2024-04-18,2024-04-18,3470
DMA.100028,{5A9280CD-F904-4BDB-8432-9AAAD0FE9D51},DMA.100028-DEC{5A9280CD-F904-4BDB-8432-9AAAD0FE9D51}-ATT3334,DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202343/DMA_100028_3334.pdf,EN,2023-09-05,2023-10-27,3334
DMA.100025,{E7A9D911-F36A-4FAD-BC67-F0E3AFA390A2},DMA.100025-DEC{E7A9D911-F36A-4FAD-BC67-F0E3AFA390A2},DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202344/DMA_100025_228.pdf,EN,2023-09-05,2023-10-30,228
DMA.100026,{76AD7838-D3B7-4FC6-9486-428D0C3DC16A},DMA.100026-DEC{76AD7838-D3B7-4FC6-9486-428D0C3DC16A},DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202344/DMA_100026_172.pdf,EN,2023-09-05,2023-10-30,172
DMA.100109,{C76194A7-840E-4032-9152-FEFA2E6C1879},DMA.100109-DEC{C76194A7-840E-4032-9152-FEFA2E6C1879}-ATT929,DocumentCategory3994,https://ec.europa.eu/competition/digital_markets_act/cases/202523/DMA_100109_929.pdf,EN,2025-06-06,2025-06-06,929
DMA.100109,{CF7775AC-72DE-44E1-9A3E-CBE2964BFF89},DMA.100109-DEC{CF7775AC-72DE-44E1-9A3E-CBE2964BFF89}-ATT233,DocumentCategory3977,https://ec.europa.eu/competition/digital_markets_act/cases/202417/DMA_100109_233.pdf,EN,2024-04-24,2024-04-24,233
DMA.100185,{35B065BF-FCBF-49AF-9F56-2C55216077CB},DMA.100185-DEC{35B065BF-FCBF-49AF-9F56-2C55216077CB}-ATT1229,DocumentCategory4290,https://ec.europa.eu/competition/digital_markets_act/cases/202525/DMA_100185_1229.pdf,EN,2025-06-19,2025-06-19,1229
DMA.100185,{C95930EC-24E8-4ED0-845A-63EBD6372EDA},DMA.100185-DEC{C95930EC-24E8-4ED0-845A-63EBD6372EDA}-ATT299,DocumentCategory3977,https://ec.europa.eu/competition/digital_markets_act/cases/202417/DMA_100185_299.pdf,EN,2024-04-24,2024-04-24,299
DMA.100020,{73FBA51F-7BCB-4F1D-B72B-81DD2C20ABE9},DMA.100020-DEC{73FBA51F-7BCB-4F1D-B72B-81DD2C20ABE9}-ATT137,DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202346/DMA_100020_137.pdf,EN,2023-09-05,2023-11-16,137
DMA.100023,{A8AD762B-562E-4A27-9932-078117E94F5E},DMA.100023-DEC{A8AD762B-562E-4A27-9932-078117E94F5E},DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202344/DMA_100023_115.pdf,EN,2023-09-05,2023-10-30,115
DMA.100024,{F05A5D40-5E73-4ECB-9537-582A4E3F3251},DMA.100024-DEC{F05A5D40-5E73-4ECB-9537-582A4E3F3251}-ATT206,DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202346/DMA_100024_206.pdf,EN,2023-09-05,2023-11-16,206
DMA.100220,{4D9AF053-49EB-46FF-B4E6-4CED17ABAADA},DMA.100220-DEC{4D9AF053-49EB-46FF-B4E6-4CED17ABAADA}-ATT2145,DocumentCategory4017,https://ec.europa.eu/competition/digital_markets_act/cases/202619/DMA_100220_2145.pdf,EN,2026-05-04,2026-05-05,2145
DMA.100220,{5C5EE221-4F6F-42EC-B526-96B84DF0B9F1},DMA.100220-DEC{5C5EE221-4F6F-42EC-B526-96B84DF0B9F1}-ATT834,DocumentCategory3976,https://ec.europa.eu/competition/digital_markets_act/cases/20267/DMA_100220_834.pdf,NS,2026-01-27,2026-02-09,834
DMA.100220,{8E56723A-179E-4185-99F2-1F635C206D3A},DMA.100220-DEC{8E56723A-179E-4185-99F2-1F635C206D3A}-ATT2683,DocumentCategory3998,https://ec.europa.eu/competition/digital_markets_act/cases/202629/DMA_100220_2683.pdf,NS,2026-07-16,2026-07-16,2683
DMA.100022,{0A4BC9A5-A226-436B-9152-6A832D77810F},DMA.100022-DEC{0A4BC9A5-A226-436B-9152-6A832D77810F}-ATT2757,DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202416/DMA_100022_2757.pdf,EN,2024-04-18,2024-04-18,2757
DMA.100022,{84C6752D-3D5C-4AC0-9712-7BC15A84356A},DMA.100022-DEC{84C6752D-3D5C-4AC0-9712-7BC15A84356A}-ATT2499,DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202343/DMA_100022_2499.pdf,EN,2023-09-05,2023-10-27,2499
DMA.100016,{F47F44E8-586E-4C34-914C-E99AB8CF8335},DMA.100016-DEC{F47F44E8-586E-4C34-914C-E99AB8CF8335}-ATT104,DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202346/DMA_100016_104.pdf,EN,2023-09-05,2023-11-15,104
DMA.100017,{76AD7838-D3B7-4FC6-9486-428D0C3DC16A},DMA.100017-DEC{76AD7838-D3B7-4FC6-9486-428D0C3DC16A},DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202344/DMA_100017_183.pdf,EN,2023-09-05,2023-10-30,183
DMA.100014,{689FD300-B727-4545-8AA9-80A6C3426CFB},DMA.100014-DEC{689FD300-B727-4545-8AA9-80A6C3426CFB}-ATT163,DocumentCategory3982,https://ec.europa.eu/competition/digital_markets_act/cases/202612/DMA_100014_163.pdf,NS,2026-03-20,2026-03-20,163
DMA.100015,{1ABE6D99-2BC9-4474-BEB4-50CF95DCB14B},DMA.100015-DEC{1ABE6D99-2BC9-4474-BEB4-50CF95DCB14B}-ATT700,DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202416/DMA_100015_700.pdf,EN,2024-04-18,2024-04-18,700
DMA.100015,{5A9280CD-F904-4BDB-8432-9AAAD0FE9D51},DMA.100015-DEC{5A9280CD-F904-4BDB-8432-9AAAD0FE9D51}-ATT584,DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202343/DMA_100015_584.pdf,EN,2023-09-05,2023-10-27,584
DMA.100018,{F47F44E8-586E-4C34-914C-E99AB8CF8335},DMA.100018,DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202346/DMA_100018_108.pdf,EN,2023-09-05,2023-11-15,108
DMA.100019,{B14456B8-5889-4F3C-9554-E975385C8DE6},DMA.100019-DEC{B14456B8-5889-4F3C-9554-E975385C8DE6}-ATT191,DocumentCategory3981,https://ec.europa.eu/competition/digital_markets_act/cases/202442/DMA_100019_191.pdf,EN,2024-10-14,2024-10-14,191
DMA.100097,{BAF44B25-FC89-49A6-9AD4-D53BF4E37844},DMA.100097-DEC{BAF44B25-FC89-49A6-9AD4-D53BF4E37844}-ATT133,DocumentCategory3924,https://ec.europa.eu/competition/digital_markets_act/cases/202426/DMA_100097_133.pdf,EN,2024-06-26,2024-06-26,133
DMA.100013,{E7A9D911-F36A-4FAD-BC67-F0E3AFA390A2},DMA.100013-DEC{E7A9D911-F36A-4FAD-BC67-F0E3AFA390A2},DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202344/DMA_100013_215.pdf,EN,2023-09-05,2023-10-30,215
DMA.100010,{0096D7F1-E17C-402A-ADD2-5DD90FDA7BF3},DMA.100010-DEC{0096D7F1-E17C-402A-ADD2-5DD90FDA7BF3},DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202344/DMA_100010_157.pdf,EN,2023-09-05,2023-10-30,157
DMA.100055,{4B1EF27F-06A5-4211-B33A-B7C1C77F5011},DMA.100055-DEC{4B1EF27F-06A5-4211-B33A-B7C1C77F5011}-ATT528,DocumentCategory3994,https://ec.europa.eu/competition/digital_markets_act/cases/202525/DMA_100055_528.pdf,EN,2025-06-18,2025-06-18,528
DMA.100055,{BFC1CDC6-B118-45A7-B3D6-5A4718E700D6},DMA.100055-DEC{BFC1CDC6-B118-45A7-B3D6-5A4718E700D6}-ATT135,DocumentCategory3977,https://ec.europa.eu/competition/digital_markets_act/cases/202417/DMA_100055_135.pdf,EN,2024-04-25,2024-04-25,135
DMA.100011,{0096D7F1-E17C-402A-ADD2-5DD90FDA7BF3},DMA.100011-DEC{0096D7F1-E17C-402A-ADD2-5DD90FDA7BF3},DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202344/DMA_100011_147.pdf,EN,2023-09-05,2023-10-30,147
DMA.100209,{38F71209-CDB2-4562-AF09-525D9C99F38F},DMA.100209-DEC{38F71209-CDB2-4562-AF09-525D9C99F38F}-ATT1126,DocumentCategory3976,https://ec.europa.eu/competition/digital_markets_act/cases/20267/DMA_100209_1126.pdf,EN,2026-01-27,2026-02-13,1126
DMA.100209,{DC0531D8-AE73-48AC-94FF-4559C8149578},DMA.100209-DEC{DC0531D8-AE73-48AC-94FF-4559C8149578}-ATT2712,DocumentCategory3998,https://ec.europa.eu/competition/digital_markets_act/cases/202629/DMA_100209_2712.pdf,NS,2026-07-16,2026-07-16,2712
DMA.100209,{F5FDC925-CA74-4003-903E-64D25D2B0886},DMA.100209-DEC{F5FDC925-CA74-4003-903E-64D25D2B0886}-ATT1986,DocumentCategory4017,https://ec.europa.eu/competition/digital_markets_act/cases/202616/DMA_100209_1986.pdf,EN,2026-04-16,2026-04-17,1986
